[2026-09-03 23:17:10,918: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-09-03 23:17:11,007: INFO: common: yaml file: params.yaml loaded successfully]
[2026-09-03 23:19:24,239: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-09-03 23:19:24,241: INFO: common: yaml file: params.yaml loaded successfully]
[2026-09-03 23:19:24,242: INFO: common: created directory at: artifacts]
[2026-09-03 23:19:24,244: INFO: common: created directory at: artifacts/data_ingestion]
[2026-09-03 23:19:24,245: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1TK6UY7yeeizcj05bRniojA9G1dRiUWp2/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-09-03 23:21:43,539: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1TK6UY7yeeizcj05bRniojA9G1dRiUWp2/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2026-09-04 00:40:37,966: INFO: common: yaml file: config\config.yaml loaded successfully]
[2026-09-04 00:40:38,104: INFO: common: yaml file: params.yaml loaded successfully]
[2026-09-04 00:40:38,110: INFO: common: created directory at: artifacts]
[2026-09-04 00:40:38,771: INFO: common: created directory at: artifacts/prepare_base_model]
[2026-09-04 00:40:46,589: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
